2025-12-24 00:00:00.013 [scheduling-1] [] INFO  c.y.news.pipeline.PipelineScheduler - Scheduled pipeline execution started
2025-12-24 00:00:01.139 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=rss.kmib.co.kr, error=Failed to resolve 'rss.kmib.co.kr' [A(1)] after 2 queries 
2025-12-24 00:00:01.216 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.pressian.com, entries=25, saved=0
2025-12-24 00:00:01.306 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.sisain.co.kr, entries=20, saved=0
2025-12-24 00:00:01.444 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.labortoday.co.kr, entries=50, saved=0
2025-12-24 00:00:01.444 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Collection complete: totalFeeds=16, success=11, failed=5, totalSaved=0, elapsedMs=1426
2025-12-24 00:00:01.444 [scheduling-1] [] INFO  c.y.n.pipeline.PipelineOrchestrator - [RSS] Collected 0 articles
2025-12-24 00:00:01.444 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Starting clustering for articles from last 48 hours, limit=1000
2025-12-24 00:00:01.475 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Loaded 319 articles for clustering
2025-12-24 00:00:01.481 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Classified 189 out of 319 articles
2025-12-24 00:00:01.485 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 금리 관련 이슈: 금리/인하 (fingerprint=RATE:금리,기준금리,인하)
2025-12-24 00:00:01.492 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 정책 이슈: 관세/정책 (fingerprint=POLICY:관세,정책)
2025-12-24 00:00:01.494 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 정책 이슈: 지원/정책 (fingerprint=POLICY:금융위,정책,지원)
2025-12-24 00:00:01.498 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 환율 관련 이슈: 환율/달러 (fingerprint=FX:달러,외환,환율)
2025-12-24 00:00:01.500 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 부동산 이슈: 아파트/주택 (fingerprint=REALESTATE:아파트,전세,주택)
2025-12-24 00:00:01.503 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 부동산 이슈: 부동산/월세 (fingerprint=REALESTATE:부동산,월세,전세)
2025-12-24 00:00:01.505 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 증시 관련 이슈: 상승/하락 (fingerprint=STOCK:상승,시총,하락)
2025-12-24 00:00:01.508 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 증시 관련 이슈: 상승/주가 (fingerprint=STOCK:상승,주가,증시)
2025-12-24 00:00:01.508 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Clustering completed: 0 created, 8 updated, 155 skipped
2025-12-24 00:00:01.508 [scheduling-1] [] INFO  c.y.n.pipeline.PipelineOrchestrator - [Cluster] Created 0, Updated 8, Skipped 155
2025-12-24 00:00:01.510 [scheduling-1] [] INFO  c.y.news.card.CardGenerationService - Found 8 card generation targets
2025-12-24 00:00:01.515 [scheduling-1] [] INFO  c.y.news.card.CardGenerationService - Card generation completed: 0 success, 8 skipped, 0 failed
2025-12-24 00:00:01.515 [scheduling-1] [] INFO  c.y.n.pipeline.PipelineOrchestrator - [Card] Generated 0, Skipped 8, Failed 0
2025-12-24 00:00:01.526 [scheduling-1] [] INFO  c.y.n.pipeline.PipelineOrchestrator - ========== Pipeline finished ==========
Status: SUCCESS
Duration: 1497ms
RSS Saved: 0
Issues Created: 0, Updated: 8
Cards Created: 0, Failed: 0

========================================
2025-12-24 00:10:00.004 [scheduling-1] [] INFO  c.y.news.pipeline.PipelineScheduler - Scheduled pipeline execution started
2025-12-24 00:10:00.004 [scheduling-1] [] INFO  c.y.n.pipeline.PipelineOrchestrator - ========== Pipeline started at 2025-12-24T00:10:00.004116300 ==========
2025-12-24 00:10:00.004 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Starting collection from 16 feeds
2025-12-24 00:10:00.050 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.mk.co.kr, entries=50, saved=0
2025-12-24 00:10:00.141 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.hankyung.com, entries=50, saved=0
2025-12-24 00:10:00.190 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=rss.edaily.co.kr, entries=50, saved=0
2025-12-24 00:10:00.375 [scheduling-1] [] INFO  c.yourapp.news.article.ArticleStore - Inserted 3 new articles
2025-12-24 00:10:00.386 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=rss.mt.co.kr, entries=100, saved=3
2025-12-24 00:10:00.416 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.yonhapnews.co.kr, entries=0, saved=0
2025-12-24 00:10:00.476 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=www.hani.co.kr, error=Invalid XML: Error on line 1: Content is not allowed in prolog.
2025-12-24 00:10:00.625 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.khan.co.kr, entries=50, saved=0
2025-12-24 00:10:00.685 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=rss.donga.com, entries=50, saved=0
2025-12-24 00:10:00.777 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.chosun.com, entries=100, saved=0
2025-12-24 00:10:00.873 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=newsis.com, error=Invalid XML: Error on line 6: The element type "hr" must be terminated by the matching end-tag "</hr>".
2025-12-24 00:10:00.901 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=newsis.com, error=Invalid XML: Error on line 6: The element type "hr" must be terminated by the matching end-tag "</hr>".
2025-12-24 00:10:00.920 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=newsis.com, error=Invalid XML: Error on line 6: The element type "hr" must be terminated by the matching end-tag "</hr>".
2025-12-24 00:10:01.017 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=rss.kmib.co.kr, error=Failed to resolve 'rss.kmib.co.kr' [A(1)] after 2 queries 
2025-12-24 00:10:01.173 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.pressian.com, entries=25, saved=0
2025-12-24 00:10:01.298 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.sisain.co.kr, entries=20, saved=0
2025-12-24 00:10:01.421 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.labortoday.co.kr, entries=50, saved=0
2025-12-24 00:10:01.421 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Collection complete: totalFeeds=16, success=11, failed=5, totalSaved=3, elapsedMs=1417
2025-12-24 00:10:01.421 [scheduling-1] [] INFO  c.y.n.pipeline.PipelineOrchestrator - [RSS] Collected 3 articles
2025-12-24 00:10:01.421 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Starting clustering for articles from last 48 hours, limit=1000
2025-12-24 00:10:01.453 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Loaded 322 articles for clustering
2025-12-24 00:10:01.460 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Classified 190 out of 322 articles
2025-12-24 00:10:01.466 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 금리 관련 이슈: 금리/인하 (fingerprint=RATE:금리,기준금리,인하)
2025-12-24 00:10:01.470 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 정책 이슈: 관세/정책 (fingerprint=POLICY:관세,정책)
2025-12-24 00:10:01.472 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 정책 이슈: 지원/정책 (fingerprint=POLICY:금융위,정책,지원)
2025-12-24 00:10:01.476 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 환율 관련 이슈: 환율/달러 (fingerprint=FX:달러,외환,환율)
2025-12-24 00:10:01.478 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 부동산 이슈: 아파트/주택 (fingerprint=REALESTATE:아파트,전세,주택)
2025-12-24 00:10:01.480 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 부동산 이슈: 부동산/월세 (fingerprint=REALESTATE:부동산,월세,전세)
2025-12-24 00:10:01.482 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 증시 관련 이슈: 상승/하락 (fingerprint=STOCK:상승,시총,하락)
2025-12-24 00:10:01.485 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Updated existing issue: 증시 관련 이슈: 상승/주가 (fingerprint=STOCK:상승,주가,증시)
2025-12-24 00:10:01.485 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Clustering completed: 0 created, 8 updated, 156 skipped
2025-12-24 00:10:01.485 [scheduling-1] [] INFO  c.y.n.pipeline.PipelineOrchestrator - [Cluster] Created 0, Updated 8, Skipped 156
2025-12-24 00:10:01.487 [scheduling-1] [] INFO  c.y.news.card.CardGenerationService - Found 8 card generation targets
2025-12-24 00:10:01.492 [scheduling-1] [] INFO  c.y.news.card.CardGenerationService - Card generation completed: 0 success, 8 skipped, 0 failed
2025-12-24 00:10:01.492 [scheduling-1] [] INFO  c.y.n.pipeline.PipelineOrchestrator - [Card] Generated 0, Skipped 8, Failed 0
2025-12-24 00:10:01.505 [scheduling-1] [] INFO  c.y.n.pipeline.PipelineOrchestrator - ========== Pipeline finished ==========
Status: SUCCESS
Duration: 1488ms
RSS Saved: 3
Issues Created: 0, Updated: 8
Cards Created: 0, Failed: 0

========================================
2025-12-24 00:11:48.722 [SpringApplicationShutdownHook] [] INFO  o.s.b.reactor.netty.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-24 00:11:48.723 [netty-shutdown] [] INFO  o.s.b.reactor.netty.GracefulShutdown - Graceful shutdown complete
2025-12-24 00:11:50.807 [SpringApplicationShutdownHook] [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-12-24 00:11:50.809 [SpringApplicationShutdownHook] [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-12-24 00:11:56.909 [main] [] INFO  c.yourapp.news.ArticleApplicationKt - Starting ArticleApplicationKt using Java 21.0.4 with PID 1384 (C:\ToyProject\article\build\classes\kotlin\main started by anes5 in C:\ToyProject\article)
2025-12-24 00:11:56.913 [main] [] INFO  c.yourapp.news.ArticleApplicationKt - No active profile set, falling back to 1 default profile: "default"
2025-12-24 00:11:57.049 [background-preinit] [] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.0.1.Final
2025-12-24 00:11:59.740 [main] [] INFO  o.s.b.reactor.netty.NettyWebServer - Netty started on port 8080 (http)
2025-12-24 00:11:59.750 [main] [] INFO  c.yourapp.news.ArticleApplicationKt - Started ArticleApplicationKt in 3.493 seconds (process running for 4.535)
2025-12-24 00:11:59.755 [main] [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-24 00:11:59.940 [main] [] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2087c939
2025-12-24 00:11:59.942 [main] [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-24 00:11:59.965 [main] [] INFO  c.y.n.c.ExposedConfig$$SpringCGLIB$$0 - Ensuring database tables exist
2025-12-24 00:12:00.045 [main] [] INFO  Exposed - Preparing create tables statements took 58ms
2025-12-24 00:12:00.806 [main] [] INFO  Exposed - Executing create tables statements took 761ms
2025-12-24 00:12:00.834 [main] [] INFO  Exposed - Extracting table columns took 28ms
2025-12-24 00:12:00.840 [main] [] INFO  Exposed - Extracting primary keys took 6ms
2025-12-24 00:12:00.855 [main] [] INFO  Exposed - Extracting column constraints took 12ms
2025-12-24 00:12:00.855 [main] [] INFO  Exposed - Preparing alter tables statements took 49ms
2025-12-24 00:12:00.855 [main] [] INFO  Exposed - Executing alter tables statements took 0ms
2025-12-24 00:12:00.870 [main] [] INFO  Exposed - Checking mapping consistence took 15ms
2025-12-24 00:20:00.008 [scheduling-1] [] INFO  c.y.news.pipeline.PipelineScheduler - Scheduled pipeline execution started
2025-12-24 00:20:00.008 [scheduling-1] [] INFO  c.y.n.pipeline.PipelineOrchestrator - ========== Pipeline started at 2025-12-24T00:20:00.008323600 ==========
2025-12-24 00:20:00.008 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Starting collection from 16 feeds
2025-12-24 00:20:00.849 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.mk.co.kr, entries=50, saved=0
2025-12-24 00:20:00.986 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.hankyung.com, entries=50, saved=0
2025-12-24 00:20:01.150 [scheduling-1] [] INFO  c.yourapp.news.article.ArticleStore - Inserted 50 new articles
2025-12-24 00:20:01.169 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=rss.edaily.co.kr, entries=50, saved=50
2025-12-24 00:20:01.433 [scheduling-1] [] INFO  c.yourapp.news.article.ArticleStore - Inserted 99 new articles
2025-12-24 00:20:01.450 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=rss.mt.co.kr, entries=100, saved=99
2025-12-24 00:20:01.519 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.yonhapnews.co.kr, entries=0, saved=0
2025-12-24 00:20:01.769 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=www.hani.co.kr, error=Invalid XML: Error on line 1: Content is not allowed in prolog.
2025-12-24 00:20:01.919 [scheduling-1] [] INFO  c.yourapp.news.article.ArticleStore - Inserted 50 new articles
2025-12-24 00:20:01.929 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.khan.co.kr, entries=50, saved=50
2025-12-24 00:20:02.093 [scheduling-1] [] INFO  c.yourapp.news.article.ArticleStore - Inserted 50 new articles
2025-12-24 00:20:02.101 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=rss.donga.com, entries=50, saved=50
2025-12-24 00:20:02.272 [scheduling-1] [] INFO  c.yourapp.news.article.ArticleStore - Inserted 70 new articles
2025-12-24 00:20:02.291 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.chosun.com, entries=100, saved=70
2025-12-24 00:20:02.365 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=newsis.com, error=Invalid XML: Error on line 6: The element type "hr" must be terminated by the matching end-tag "</hr>".
2025-12-24 00:20:02.383 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=newsis.com, error=Invalid XML: Error on line 6: The element type "hr" must be terminated by the matching end-tag "</hr>".
2025-12-24 00:20:02.400 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=newsis.com, error=Invalid XML: Error on line 6: The element type "hr" must be terminated by the matching end-tag "</hr>".
2025-12-24 00:20:02.491 [scheduling-1] [] WARN  c.y.news.rss.RssCollectorService - [RSS] Feed failed: url=rss.kmib.co.kr, error=Failed to resolve 'rss.kmib.co.kr' [A(1)] after 2 queries 
2025-12-24 00:20:02.613 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.pressian.com, entries=25, saved=0
2025-12-24 00:20:02.702 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.sisain.co.kr, entries=20, saved=0
2025-12-24 00:20:02.791 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Feed success: url=www.labortoday.co.kr, entries=50, saved=0
2025-12-24 00:20:02.791 [scheduling-1] [] INFO  c.y.news.rss.RssCollectorService - [RSS] Collection complete: totalFeeds=16, success=11, failed=5, totalSaved=319, elapsedMs=2782
2025-12-24 00:20:02.791 [scheduling-1] [] INFO  c.y.n.pipeline.PipelineOrchestrator - [RSS] Collected 319 articles
2025-12-24 00:20:02.791 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Starting clustering for articles from last 48 hours, limit=1000
2025-12-24 00:20:02.896 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Loaded 319 articles for clustering
2025-12-24 00:20:02.909 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Classified 188 out of 319 articles
2025-12-24 00:20:02.949 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Created new issue: 정책 이슈: 관세/정책 (fingerprint=POLICY:관세,정책)
2025-12-24 00:20:02.978 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Created new issue: 정책 이슈: 지원/정책 (fingerprint=POLICY:금융위,정책,지원)
2025-12-24 00:20:03.006 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Created new issue: 환율 관련 이슈: 환율/달러 (fingerprint=FX:달러,외환,환율)
2025-12-24 00:20:03.032 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Created new issue: 금리 관련 이슈: 금리/인하 (fingerprint=RATE:금리,기준금리,인하)
2025-12-24 00:20:03.051 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Created new issue: 부동산 이슈: 아파트/주택 (fingerprint=REALESTATE:아파트,전세,주택)
2025-12-24 00:20:03.069 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Created new issue: 부동산 이슈: 부동산/월세 (fingerprint=REALESTATE:부동산,월세,전세)
2025-12-24 00:20:03.096 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Created new issue: 증시 관련 이슈: 상승/하락 (fingerprint=STOCK:상승,시총,하락)
2025-12-24 00:20:03.115 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Created new issue: 증시 관련 이슈: 상승/주가 (fingerprint=STOCK:상승,주가,증시)
2025-12-24 00:20:03.115 [scheduling-1] [] INFO  c.y.news.issue.IssueClusterService - Clustering completed: 8 created, 0 updated, 154 skipped
2025-12-24 00:20:03.116 [scheduling-1] [] INFO  c.y.n.pipeline.PipelineOrchestrator - [Cluster] Created 8, Updated 0, Skipped 154
2025-12-24 00:20:03.121 [scheduling-1] [] INFO  c.y.news.card.CardGenerationService - Found 8 card generation targets
2025-12-24 00:20:03.134 [scheduling-1] [] INFO  c.y.news.llm.gemini.GeminiClient - [Gemini] Starting request, model=gemini-3-flash-preview, promptLength=3080
2025-12-24 00:20:18.146 [scheduling-1] [] ERROR c.y.news.llm.gemini.GeminiClient - [Gemini] Request failed: attempt=1, latencyMs=15012, error=java.util.concurrent.TimeoutException: Did not observe any item or terminal signal within 15000ms in 'Mono.flatMap ⇢ at org.springframework.web.reactive.function.client.DefaultWebClient$DefaultResponseSpec.bodyToMono(DefaultWebClient.java:596)' (and no fallback has been configured)
2025-12-24 00:20:18.149 [scheduling-1] [] INFO  c.y.news.llm.gemini.GeminiClient - [Gemini] Retrying: attempt=1, httpStatus=0, latencyMs=15012
2025-12-24 00:20:19.403 [reactor-http-nio-6] [] ERROR c.y.news.llm.gemini.GeminiClient - [Gemini] API error response: status=429, body={
  "error": {
    "code": 429,
    "message": "You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3-flash\nPlease retry in 41.948391684s.",
    "status": "RESOURCE_EXHAUSTED",
    "details": [
      {
        "@type": "type.googleapis.com/google.rpc.Help",
        "links": [
          {
            "description": "Learn more about Gemini API quotas",
            "url": "https://ai.google.dev/gemini-api/docs/rate-limits"
          }
        ]
      },
      {
        "@type": "type.googleapis.com/google.rpc.QuotaFailure",
        "violations": [
          {
            "quotaMetric": "generativelanguage.googleapis.com/generate_content_free_tier_requests",
            "quotaId": "GenerateRequestsPerDayPerProjectPerModel-FreeTier",
            "quotaDimensions": {
              "location": "global",
              "model": "gemini-3-flash"
            },
            "quotaValue": "20"
          }
        ]
      },
      {
        "@type": "type.googleapis.com/google.rpc.RetryInfo",
        "retryDelay": "41s"
      }
    ]
  }
}

2025-12-24 00:20:19.415 [scheduling-1] [] WARN  c.y.news.llm.gemini.GeminiClient - [Gemini] HTTP error: attempt=2, httpStatus=429, latencyMs=263
2025-12-24 00:20:19.415 [scheduling-1] [] INFO  c.y.news.llm.gemini.GeminiClient - [Gemini] Retrying: attempt=2, httpStatus=429, latencyMs=263
2025-12-24 00:20:21.549 [reactor-http-nio-6] [] ERROR c.y.news.llm.gemini.GeminiClient - [Gemini] API error response: status=429, body={
  "error": {
    "code": 429,
    "message": "You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3-flash\nPlease retry in 39.793134769s.",
    "status": "RESOURCE_EXHAUSTED",
    "details": [
      {
        "@type": "type.googleapis.com/google.rpc.Help",
        "links": [
          {
            "description": "Learn more about Gemini API quotas",
            "url": "https://ai.google.dev/gemini-api/docs/rate-limits"
          }
        ]
      },
      {
        "@type": "type.googleapis.com/google.rpc.QuotaFailure",
        "violations": [
          {
            "quotaMetric": "generativelanguage.googleapis.com/generate_content_free_tier_requests",
            "quotaId": "GenerateRequestsPerDayPerProjectPerModel-FreeTier",
            "quotaDimensions": {
              "location": "global",
              "model": "gemini-3-flash"
            },
            "quotaValue": "20"
          }
        ]
      },
      {
        "@type": "type.googleapis.com/google.rpc.RetryInfo",
        "retryDelay": "39s"
      }
    ]
  }
}

2025-12-24 00:20:21.550 [scheduling-1] [] WARN  c.y.news.llm.gemini.GeminiClient - [Gemini] HTTP error: attempt=3, httpStatus=429, latencyMs=129
2025-12-24 00:20:21.550 [scheduling-1] [] ERROR c.y.news.llm.gemini.GeminiClient - [Gemini] All attempts failed after 3 tries
2025-12-24 00:20:21.570 [scheduling-1] [] ERROR c.y.news.card.CardGenerationService - Gemini API failed for issue 1: 429 {
  "error": {
    "code": 429,
    "message": "You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3-flash\nPlease retry in 39.793134769s.",
    "status": "RESOURCE_EXHAUSTED",
    "details": [
      {
        "@type": "type.googleapis.com/google.rpc.Help",
        "links": [
          {
            "description": "Learn more about Gemini API quotas",
            "url": "https://ai.google.dev/gemini-api/docs/rate-limits"
          }
        ]
      },
      {
        "@type": "type.googleapis.com/google.rpc.QuotaFailure",
        "violations": [
          {
            "quotaMetric": "generativelanguage.googleapis.com/generate_content_free_tier_requests",
            "quotaId": "GenerateRequestsPerDayPerProjectPerModel-FreeTier",
            "quotaDimensions": {
              "location": "global",
              "model": "gemini-3-flash"
            },
            "quotaValue": "20"
          }
        ]
      },
      {
        "@type": "type.googleapis.com/google.rpc.RetryInfo",
        "retryDelay": "39s"
      }
    ]
  }
}

2025-12-24 00:20:21.576 [scheduling-1] [] INFO  c.y.news.llm.gemini.GeminiClient - [Gemini] Starting request, model=gemini-3-flash-preview, promptLength=3071
2025-12-24 00:20:21.683 [reactor-http-nio-6] [] ERROR c.y.news.llm.gemini.GeminiClient - [Gemini] API error response: status=429, body={
  "error": {
    "code": 429,
    "message": "You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3-flash\nPlease retry in 39.658495161s.",
    "status": "RESOURCE_EXHAUSTED",
    "details": [
      {
        "@type": "type.googleapis.com/google.rpc.Help",
        "links": [
          {
            "description": "Learn more about Gemini API quotas",
            "url": "https://ai.google.dev/gemini-api/docs/rate-limits"
          }
        ]
      },
      {
        "@type": "type.googleapis.com/google.rpc.QuotaFailure",
        "violations": [
          {
            "quotaMetric": "generativelanguage.googleapis.com/generate_content_free_tier_requests",
